config,backend,language,split,file_id,reference,hypothesis,hypothesis_raw,wer,cer,latency_sec,rtf,audio_duration_sec,error
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01959,tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmaansa kirjattuja,tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja,"Tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle, mutta on tärkeää, että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja...",0.166667,0.019231,1.659,0.1497,11.088,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02628,mutta et se tärkeä mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,tärkeää mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,"Tärkeää, mikä pitäisi parantaa, on se, että kun siinä kutsuntatilanteessa todetaan, että se kaveri ei kykene suorittamaan sitä palvelusta, niin siinä vaiheessa pitäisi joku muu taho katsoa, että jos sen nuoren miehen tilanne ei ole hyvä, että varmistetaan, että joku ottaa siitä kopin niin, että se ei putoa järjestelmästä väliin.",0.075472,0.039275,1.543,0.0784,19.672,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04351,valtiovarainvaliokunnassa pidimme tärkeänä myös päihdeäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,Valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa.,0.090909,0.008696,7.173,0.9187,7.808,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02700,meillä on esimerkiksi kaakkois suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä jotka itse arvioivat että heidän kuntonsa edellyttäisi kohentamista niin ennen palvelukseen astumista eli vuoden kahden aikana siihen kuntopuoleen,meillä on esimerkiksi kaakkois suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa pyritään niitä jotka itse arvioivat että heidän kuntoonsa edellyttäisi kohentamista niin ennen palveluksen astumista eli vuoden kahden aikana siihen kuntoon puoleen,"Meillä on esimerkiksi Kaakkois-Suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa. Pyritään niitä, jotka itse arvioivat, että heidän kuntoonsa edellyttäisi kohentamista, niin ennen palveluksen astumista, eli vuoden kahden aikana siihen kuntoon puoleen.",0.193548,0.042471,51.86,3.8236,13.563,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,hanna_tainio_01920,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen,"Lastensuojelun puolellahan on ollut myös vakavia ongelmia, mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen.",0.045455,0.015228,0.868,0.0832,10.424,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02968,arvoisa puhemies,arvoisa puheenmies,Arvoisa puheenmies.,0.5,0.125,6.625,7.3282,0.904,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02922,samalla eduskunta hyväksyy seuraavan hyväksyi seuraavan lausuman,samalla eduskunta hyväksyi seuraavan lausun,Samalla eduskunta hyväksyi seuraavan lausun.,0.428571,0.328125,51.745,14.6337,3.536,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02703,valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön,valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä,Valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä.,0.166667,0.043796,0.737,0.0698,10.552,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02689,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin kovin tuota kalliiksi eli eli tässä suhteessa puolustushallinto on lähtenyt lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin tuolta kalliiksi eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,"Kysymys on siis paitsi siitä, että se on olennainen osa, että sen korvaaminen tulisi kovin tuolta kalliiksi. Eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja, mutta hallitus lähikuukausina asiaa käsittelee.",0.114286,0.08,8.826,0.6486,13.607,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02604,mitä tulee tähän maanpuolustustahtoon näille alueille joista lakkaa varuskunnat niin puolustusvoimissa on tällä hetkellä suunnitteilla nämä niin sanotut paikallisjoukot joka on siis uusi joukkotyyppi joka on edustaja joka on komentaja puheloisen,maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns paikallisjoukot joka on uusi joukkotyyppi joka on komentaja puheloisen,"Maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns. paikallisjoukot, joka on uusi joukkotyyppi, joka on komentaja puheloisen.",0.612903,0.493878,51.173,3.9198,13.055,
