config,backend,language,split,file_id,reference,hypothesis,hypothesis_raw,wer,cer,latency_sec,rtf,audio_duration_sec,ref_words,hyp_words,word_ratio,error
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01959,tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmaansa kirjattuja,tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja,"Tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle, mutta on tärkeää, että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja...",0.166667,0.019231,1.599,0.1442,11.088,18,18,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02628,mutta et se tärkeä mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,tärkeää mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,"Tärkeää, mikä pitäisi parantaa, on se, että kun siinä kutsuntatilanteessa todetaan, että se kaveri ei kykene suorittamaan sitä palvelusta, niin siinä vaiheessa pitäisi joku muu taho katsoa, että jos sen nuoren miehen tilanne ei ole hyvä, että varmistetaan, että joku ottaa siitä kopin niin, että se ei putoa järjestelmästä väliin.",0.075472,0.039275,1.226,0.0623,19.672,53,50,0.943,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04351,valtiovarainvaliokunnassa pidimme tärkeänä myös päihdeäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,Valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa.,0.090909,0.008696,0.631,0.0808,7.808,11,11,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02700,meillä on esimerkiksi kaakkois suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä jotka itse arvioivat että heidän kuntonsa edellyttäisi kohentamista niin ennen palvelukseen astumista eli vuoden kahden aikana siihen kuntopuoleen,meillä on esimerkiksi kaakkois suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa pyritään niitä jotka itse arvioivat että heidän kuntoonsa edellyttäisi kohentamista niin ennen palveluksen astumista eli vuoden kahden aikana siihen kuntoon puoleen,"Meillä on esimerkiksi Kaakkois-Suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa. Pyritään niitä, jotka itse arvioivat, että heidän kuntoonsa edellyttäisi kohentamista, niin ennen palveluksen astumista, eli vuoden kahden aikana siihen kuntoon puoleen.",0.193548,0.042471,58.359,4.3028,13.563,31,31,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,hanna_tainio_01920,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen,"Lastensuojelun puolellahan on ollut myös vakavia ongelmia, mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen.",0.045455,0.015228,0.91,0.0873,10.424,22,21,0.955,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02968,arvoisa puhemies,arvoisa puheenmies,Arvoisa puheenmies.,0.5,0.125,0.338,0.3744,0.904,2,2,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02922,samalla eduskunta hyväksyy seuraavan hyväksyi seuraavan lausuman,samalla eduskunta hyväksyi seuraavan lausun,Samalla eduskunta hyväksyi seuraavan lausun.,0.428571,0.328125,57.694,16.3162,3.536,7,5,0.714,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02703,valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön,valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä,Valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä.,0.166667,0.043796,1.852,0.1755,10.552,12,12,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02689,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin kovin tuota kalliiksi eli eli tässä suhteessa puolustushallinto on lähtenyt lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin tuolta kalliiksi eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,"Kysymys on siis paitsi siitä, että se on olennainen osa, että sen korvaaminen tulisi kovin tuolta kalliiksi. Eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja, mutta hallitus lähikuukausina asiaa käsittelee.",0.114286,0.08,0.9,0.0661,13.607,35,32,0.914,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02604,mitä tulee tähän maanpuolustustahtoon näille alueille joista lakkaa varuskunnat niin puolustusvoimissa on tällä hetkellä suunnitteilla nämä niin sanotut paikallisjoukot joka on siis uusi joukkotyyppi joka on edustaja joka on komentaja puheloisen,maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns paikallisjoukot joka on uusi joukkotyyppi joka on komentaja puheloisen,"Maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns. paikallisjoukot, joka on uusi joukkotyyppi, joka on komentaja puheloisen.",0.612903,0.493878,57.101,4.3739,13.055,31,15,0.484,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02376,energiapaletti se perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuvan energian osalta mutta mielestäni kunnianhimon tasoa on syytä nostaa ja sitä hallitus tulee tämän syksyn aikana käsittelemään ja energiailmastostrategia uudistetaan ajastetaan tämän syksyn aikana ja eduskunta saa sen sitten käsiteltäväkseen,energiapaletti perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuva energia osalta mutta mielestäni kunnianhimo tasoa on syytä nostaa ja sitä hallitus tulee tämän syksyn aikana käsittelemään energia ilmastostrategia ajastetaan tämän syksyn aikana ja eduskunta saa sen sitten käsiteltäväkseen,"Energiapaletti perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuva energia osalta. Mutta mielestäni kunnianhimo tasoa on syytä nostaa, ja sitä hallitus tulee tämän syksyn aikana käsittelemään. Energia-ilmastostrategia ajastetaan tämän syksyn aikana, ja eduskunta saa sen sitten käsiteltäväkseen.",0.170732,0.063768,2.425,0.1272,19.056,41,39,0.951,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02695,sen yhtiön enemmistö on on on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä että siinä mielessä,ene yhtiön enemmistön on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä että siinä mielessä,"Ene-yhtiön enemmistön on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä, että siinä mielessä...",0.2,0.05,0.675,0.0776,8.696,20,18,0.9,
