config,backend,language,split,file_id,reference,hypothesis,hypothesis_raw,wer,cer,latency_sec,rtf,audio_duration_sec,ref_words,hyp_words,word_ratio,error
local_whisper_fi,local_whisper,fi,2016-dev-seen,jouni_backman_01959,tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmaansa kirjattuja,tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmansa kirjattuja,"Tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle, mutta on tärkeää, että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmansa kirjattuja.",0.055556,0.00641,5.974,0.5388,11.088,18,18,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,carl_haglund_02628,mutta et se tärkeä mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,mutta se tärkein mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa sitä kopiin niin että se ei putoa järjestelmästä väliin,"Mutta se tärkein mikä pitäisi parantaa on se, että kun siinä kutsuntatilanteessa todetaan, että se kaveri ei kykene suorittamaan sitä palvelusta, niin siinä vaiheessa pitäisi joku muu taho katsoa, että jos sen nuoren miehen tilanne ei ole hyvä, että varmistetaan, että joku ottaa sitä kopiin niin, että se ei putoa järjestelmästä väliin.",0.075472,0.021148,3.413,0.1735,19.672,53,52,0.981,
local_whisper_fi,local_whisper,fi,2016-dev-seen,anne_mari_virolainen_04351,valtiovarainvaliokunnassa pidimme tärkeänä myös päihdeäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,Valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa.,0.090909,0.008696,2.258,0.2891,7.808,11,11,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,jyri_hakamies_02700,meillä on esimerkiksi kaakkois suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä jotka itse arvioivat että heidän kuntonsa edellyttäisi kohentamista niin ennen palvelukseen astumista eli vuoden kahden aikana siihen kuntopuoleen,meillä on esimerkiksi kaakkois suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä jotka itse arvioivat että heidän kuntoonsa edellyttäisi kohentamista ennen palveluksen astumista eli vuoden kahden aikana siihen kuntopuoleen kohentamiseen,"Meillä on esimerkiksi Kaakkois Suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä, jotka itse arvioivat, että heidän kuntoonsa edellyttäisi kohentamista ennen palveluksen astumista eli vuoden kahden aikana siihen kuntopuoleen kohentamiseen.",0.129032,0.081081,2.875,0.212,13.563,31,31,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,hanna_tainio_01920,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja terveydenhuoltoon,"Lastensuojelun puolellahan on ollut myös vakavia ongelmia, mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja terveydenhuoltoon.",0.045455,0.091371,2.878,0.2761,10.424,22,23,1.045,
local_whisper_fi,local_whisper,fi,2016-dev-seen,eero_suutari_02968,arvoisa puhemies,arvoisa puhemies,Arvoisa puhemies!.,0.0,0.0,0.624,0.6901,0.904,2,2,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,eero_suutari_02922,samalla eduskunta hyväksyy seuraavan hyväksyi seuraavan lausuman,samalla eduskunta hyväksyi seuraavan hyväksyi seuraavan lausunnon,Samalla eduskunta hyväksyi seuraavan hyväksyi seuraavan lausunnon.,0.285714,0.0625,1.138,0.3219,3.536,7,7,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,carl_haglund_02703,valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön,valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön,Valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön.,0.0,0.0,2.091,0.1982,10.552,12,12,1.0,
local_whisper_fi,local_whisper,fi,2016-dev-seen,jyri_hakamies_02689,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin kovin tuota kalliiksi eli eli tässä suhteessa puolustushallinto on lähtenyt lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin kalliiksi eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,"Kysymys on siis paitsi siitä, että se on olennainen osa, että sen korvaaminen tulisi kovin kalliiksi. Eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja, mutta hallitus lähikuukausina asiaa käsittelee.",0.114286,0.1,3.114,0.2288,13.607,35,31,0.886,
local_whisper_fi,local_whisper,fi,2016-dev-seen,carl_haglund_02604,mitä tulee tähän maanpuolustustahtoon näille alueille joista lakkaa varuskunnat niin puolustusvoimissa on tällä hetkellä suunnitteilla nämä niin sanotut paikallisjoukot joka on siis uusi joukkotyyppi joka on edustaja joka on komentaja puheloisen,mitä tulee tähän maanpuolustustahtoon näille alueille joista lakkaa varuskunnat niin puolustusvoimissa on tällä hetkellä suunnitteleva nämä niin sanotut paikallisjoukot joka on siis uusi joukkotyyppi joka on komentaja puheloisen,"Mitä tulee tähän maanpuolustustahtoon näille alueille, joista lakkaa varuskunnat, niin puolustusvoimissa on tällä hetkellä suunnitteleva nämä niin sanotut paikallisjoukot, joka on siis uusi joukkotyyppi, joka on komentaja Puheloisen.",0.129032,0.081633,2.665,0.2041,13.055,31,28,0.903,
